000000	Pedestrian	712.40	143.00	810.73	307.92
000001	Cyclist	676.60	163.95	688.98	193.93
000005	Pedestrian	330.06	178.74	360.77	238.64
000007	Cyclist	330.60	176.09	355.61	213.60
000010	Pedestrian	859.54	159.80	879.68	221.40
000011	Pedestrian	883.68	144.15	937.35	259.01
000011	Pedestrian	873.70	152.10	933.44	256.07
000011	Pedestrian	649.28	168.10	664.61	206.40
000011	Pedestrian	240.35	190.31	268.02	261.61
000015	Pedestrian	1021.76	133.28	1101.39	316.63
000015	Pedestrian	672.23	171.73	690.13	224.33
000015	Pedestrian	692.68	169.14	712.48	224.03
000015	Pedestrian	537.84	168.08	560.90	224.34
000021	Cyclist	1056.16	190.50	1241.00	374.00
000023	Cyclist	677.94	164.64	690.85	195.36
000025	Cyclist	650.19	175.43	659.99	205.20
000028	Pedestrian	147.29	156.22	205.29	309.43
000035	Cyclist	665.45	160.00	717.93	217.99
000035	Pedestrian	423.17	173.67	433.17	224.03
000040	Pedestrian	691.54	168.88	700.87	198.51
000043	Pedestrian	471.56	174.73	502.47	266.40
000043	Pedestrian	441.08	170.15	473.22	268.12
000043	Pedestrian	684.72	161.94	711.08	230.10
000043	Pedestrian	719.54	160.00	745.42	229.67
000048	Pedestrian	659.64	160.90	687.89	236.97
000048	Pedestrian	680.59	157.38	711.83	236.18
000048	Pedestrian	453.20	159.81	482.53	241.31
000048	Cyclist	600.22	162.56	622.05	206.65
000049	Pedestrian	984.43	188.05	1128.77	374.00
000049	Pedestrian	693.57	173.32	709.90	209.83
000051	Cyclist	919.02	155.73	967.93	230.96
000054	Pedestrian	768.22	141.35	840.18	316.18
000058	Pedestrian	410.27	163.81	498.68	327.03
000060	Cyclist	789.79	178.79	805.04	211.66
000062	Cyclist	692.58	175.37	717.50	229.83
000063	Pedestrian	411.42	172.40	454.91	296.52
000065	Pedestrian	602.33	172.98	626.06	220.54
000068	Cyclist	1210.28	199.77	1241.00	374.00
000068	Cyclist	958.95	167.55	1036.88	254.43
000070	Pedestrian	531.11	146.50	631.01	350.00
000073	Pedestrian	237.23	173.70	312.33	365.33
000073	Pedestrian	189.46	158.23	256.19	356.44
000073	Pedestrian	752.95	164.08	791.19	288.78
000073	Cyclist	444.66	170.48	485.70	241.86
000073	Cyclist	494.34	168.08	517.01	223.73
000073	Pedestrian	546.73	177.07	560.52	214.88
000073	Pedestrian	535.68	174.41	549.63	214.38
000074	Pedestrian	688.53	124.64	780.20	363.93
000074	Pedestrian	778.38	149.08	861.05	355.71
000074	Pedestrian	935.80	155.14	1006.47	306.09
000076	Pedestrian	90.64	186.57	329.47	373.00
000076	Pedestrian	964.98	157.64	1023.92	289.42
000076	Pedestrian	236.84	169.82	288.56	339.57
000076	Cyclist	413.06	169.47	489.86	291.05
000076	Pedestrian	811.24	152.52	841.74	249.83
000076	Pedestrian	583.85	164.01	608.02	237.87
000076	Pedestrian	524.52	165.79	549.51	230.67
000076	Pedestrian	560.09	165.43	577.09	224.39
000076	Pedestrian	708.67	157.73	729.27	222.05
000085	Cyclist	678.16	164.16	705.93	243.78
000085	Pedestrian	304.95	177.99	359.91	304.07
000087	Pedestrian	560.17	171.53	569.17	196.85
000091	Cyclist	902.74	156.63	947.40	228.32
000100	Cyclist	684.31	165.66	710.23	242.31
000100	Pedestrian	359.32	182.26	400.32	285.85
