00103944,pedestrian,217,90,12,31
00038060,pedestrian,476,326,41,77
00085298,pedestrian,451,148,14,26
00030947,pedestrian,28,130,7,17
00017471,pedestrian,304,467,44,26
00103318,pedestrian,59,326,36,71
00103318,pedestrian,334,246,24,63
00103318,pedestrian,312,252,20,35
00051771,bicycle,132,413,135,72
00101054,bicycle,184,318,73,113
00101054,pedestrian,517,60,6,17
00101054,bicycle,423,188,46,100
00091879,pedestrian,546,184,7,32
00098797,pedestrian,690,154,7,25
00076469,pedestrian,52,389,79,78
00076469,pedestrian,34,420,63,56
00033420,pedestrian,578,393,33,68
00087768,pedestrian,220,393,67,66
00087768,pedestrian,285,260,40,76
00087768,pedestrian,278,396,55,89
00012125,pedestrian,80,269,47,96
00012125,pedestrian,538,90,13,33
00012125,pedestrian,350,81,6,14
00012125,bicycle,360,216,42,107
00012125,pedestrian,114,228,36,56
00012125,bicycle,430,122,23,58
00012125,bicycle,415,184,26,64
00012125,pedestrian,336,84,7,18
00030028,bicycle,430,46,27,48
00030028,bicycle,391,40,20,43
00008237,bicycle,599,101,82,70
00064647,pedestrian,665,150,10,19
00094855,pedestrian,48,342,55,60
00094855,pedestrian,55,302,54,79
00094855,pedestrian,512,34,16,43
00052788,pedestrian,630,162,23,41
00073278,pedestrian,212,85,10,16
00041964,pedestrian,240,426,63,70
00041964,pedestrian,280,347,54,88
00041964,pedestrian,324,414,48,78
00087681,pedestrian,435,142,14,30
00087681,pedestrian,444,144,8,29
00082496,pedestrian,544,45,15,32
00089378,pedestrian,278,97,13,24
00089378,pedestrian,424,82,9,20
00009969,bicycle,592,84,70,71
00088504,pedestrian,224,194,27,59
00080538,pedestrian,20,86,6,16
00107741,bicycle,580,172,66,71
00009117,bicycle,62,322,51,92
00021807,bicycle,576,104,77,73
00026346,bicycle,428,42,29,48
00026346,bicycle,396,32,21,46
00010640,pedestrian,642,402,131,149
00010640,bicycle,278,169,57,82
00087556,pedestrian,354,456,45,48
00031543,pedestrian,182,214,7,23
00031543,pedestrian,173,212,10,19
00031543,pedestrian,206,206,14,20
00080732,pedestrian,692,119,17,38
00080732,pedestrian,703,124,14,52
00080732,bicycle,326,264,53,128
00094221,bicycle,348,332,69,77
00074966,pedestrian,270,320,47,67
00074966,pedestrian,304,289,49,72
00074966,pedestrian,252,288,64,65
00008635,pedestrian,634,110,6,11
00008635,pedestrian,686,131,9,12
00008635,pedestrian,561,176,16,32
00008635,pedestrian,627,108,4,11
00011466,bicycle,302,282,44,102
00011466,bicycle,244,220,45,76
00011466,bicycle,284,328,51,106
00030174,pedestrian,359,93,12,32
00049711,pedestrian,306,43,22,42
00077325,pedestrian,258,328,51,97
00077325,pedestrian,214,315,49,90
00068077,pedestrian,81,204,10,15
00068077,pedestrian,28,222,8,11
00087032,pedestrian,219,206,10,30
00087032,pedestrian,202,207,15,30
00107694,bicycle,424,33,23,50
00014541,pedestrian,291,194,36,19
00036440,bicycle,18,200,32,63
00036440,bicycle,15,160,28,43
00016159,pedestrian,510,43,21,40
00099361,pedestrian,435,60,12,25
00099361,pedestrian,540,66,9,30
00042684,pedestrian,16,323,30,52
00082001,pedestrian,440,215,27,54
00091477,bicycle,216,234,59,116
00091477,bicycle,126,411,102,118
00031911,pedestrian,410,64,9,31
00031911,pedestrian,416,70,14,33
00071604,pedestrian,570,206,21,32
00059457,bicycle,452,124,26,47
00045926,bicycle,113,90,46,46
00007769,bicycle,192,310,63,134
00007769,pedestrian,188,13,7,18
00101249,pedestrian,489,138,24,39
00075450,bicycle,360,200,87,86
00045936,bicycle,390,174,39,97
00094139,bicycle,296,282,51,100
00101887,pedestrian,656,140,10,17
00044743,pedestrian,198,268,25,55
00051650,pedestrian,334,145,13,26
00051650,pedestrian,310,250,21,66
00051650,pedestrian,707,218,12,39
00051650,pedestrian,692,219,15,40
00067883,bicycle,385,166,28,61
00098629,pedestrian,216,177,25,52
00027296,bicycle,424,84,14,31
00027296,bicycle,398,90,12,32
00027296,pedestrian,512,68,7,19
00027296,pedestrian,530,77,7,22
00027296,bicycle,429,155,34,80
00027296,bicycle,398,182,39,92
00058527,pedestrian,83,320,52,64
00026738,pedestrian,78,212,9,18
00076262,pedestrian,689,420,56,85
00076262,pedestrian,642,394,61,75
00037931,pedestrian,200,128,15,31
00090011,pedestrian,51,296,36,63
00022106,pedestrian,588,170,13,31
00022106,pedestrian,577,173,14,22
